node_id,area,coord,node_type_norm,current_alliance,owner_server,owner_server_source,server_side,pact_status,status_norm,frontline_group,enemy_flag,destroyed_flag,strategic_value,risk_score,risk_level,risk_note,confidence,memo
#476:d-12,#476,d-12,city,476B,476,ownership_current,enemy,attack_allowed,owned,frontline_core,TRUE,FALSE,30,100,critical,city +30; enemy_flag +40; frontline_core +30,medium,
#476:d-14,#476,d-14,city,476B,476,ownership_current,enemy,attack_allowed,owned,frontline_core,TRUE,FALSE,30,100,critical,city +30; enemy_flag +40; frontline_core +30,medium,
#480:d-14,#480,d-14,city,BgNa,480,alliance_directory,enemy,attack_allowed,owned,frontline_core,TRUE,FALSE,30,100,critical,city +30; enemy_flag +40; frontline_core +30,medium,
#476:d-10,#476,d-10,city,476B,476,ownership_current,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,30,85,high,city +30; enemy_flag +40; frontline_adjacent +15,medium,
#476:d-2,#476,d-2,city,476K,476,ownership_current,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,30,85,high,city +30; enemy_flag +40; frontline_adjacent +15,medium,
#476:d-6,#476,d-6,city,476M,476,ownership_current,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,30,85,high,city +30; enemy_flag +40; frontline_adjacent +15,medium,
#476:e-14,#476,e-14,city,476d,476,ownership_current,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,30,85,high,city +30; enemy_flag +40; frontline_adjacent +15,medium,
#476:e-18,#476,e-18,city,476Z,476,ownership_current,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,30,85,high,city +30; enemy_flag +40; frontline_adjacent +15,medium,
#480:e-18,#480,e-18,city,AAOA,480,alliance_directory,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,30,85,high,city +30; enemy_flag +40; frontline_adjacent +15,medium,
#480:e-6,#480,e-6,city,TkTk,480,alliance_directory,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,30,85,high,city +30; enemy_flag +40; frontline_adjacent +15,medium,
#480:e-8,#480,e-8,city,BgNa,480,alliance_directory,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,30,85,high,city +30; enemy_flag +40; frontline_adjacent +15,medium,
#503:d-10,#503,d-10,city,Lghs,503,alliance_directory,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,30,85,high,city +30; enemy_flag +40; frontline_adjacent +15,medium,
#503:e-8,#503,e-8,city,Lghs,503,alliance_directory,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,30,85,high,city +30; enemy_flag +40; frontline_adjacent +15,medium,
#534:d-10,#534,d-10,city,SHA,503,alliance_directory,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,30,85,high,city +30; enemy_flag +40; frontline_adjacent +15,medium,
#534:d-4,#534,d-4,city,nO9,476,alliance_directory,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,30,85,high,city +30; enemy_flag +40; frontline_adjacent +15,medium,
#534:e-14,#534,e-14,city,SHA,503,alliance_directory,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,30,85,high,city +30; enemy_flag +40; frontline_adjacent +15,medium,
#534:e-4,#534,e-4,city,nO9,476,alliance_directory,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,30,85,high,city +30; enemy_flag +40; frontline_adjacent +15,medium,
#534:e-6,#534,e-6,city,SHA,503,alliance_directory,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,30,85,high,city +30; enemy_flag +40; frontline_adjacent +15,medium,
#509:D-11,#509,D-11,fishery,476A,476,ownership_current,enemy,attack_allowed,owned,frontline_core,TRUE,FALSE,10,80,high,fishery +10; enemy_flag +40; frontline_core +30,medium,
#509:D-13,#509,D-13,fishery,476A,476,ownership_current,enemy,attack_allowed,owned,frontline_core,TRUE,FALSE,10,80,high,fishery +10; enemy_flag +40; frontline_core +30,medium,
#534:D-11,#534,D-11,fishery,476C,476,ownership_current,enemy,attack_allowed,owned,frontline_core,TRUE,FALSE,10,80,high,fishery +10; enemy_flag +40; frontline_core +30,medium,
#534:D-13,#534,D-13,fishery,476B,476,ownership_current,enemy,attack_allowed,owned,frontline_core,TRUE,FALSE,10,80,high,fishery +10; enemy_flag +40; frontline_core +30,medium,
#534:E-11,#534,E-11,fishery,SHA,503,alliance_directory,enemy,attack_allowed,owned,frontline_core,TRUE,FALSE,10,80,high,fishery +10; enemy_flag +40; frontline_core +30,medium,
#534:E-13,#534,E-13,fishery,476C,476,ownership_current,enemy,attack_allowed,owned,frontline_core,TRUE,FALSE,10,80,high,fishery +10; enemy_flag +40; frontline_core +30,medium,
#503:d-2,#503,d-2,trade,GX99,503,alliance_directory,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,20,75,high,trade +20; enemy_flag +40; frontline_adjacent +15,medium,
#509:d-20,#509,d-20,trade,476A,476,ownership_current,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,20,75,high,trade +20; enemy_flag +40; frontline_adjacent +15,medium,
#509:e-20,#509,e-20,trade,476B,476,ownership_current,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,20,75,high,trade +20; enemy_flag +40; frontline_adjacent +15,medium,
#511:e-2,#511,e-2,trade,AAOA,480,alliance_directory,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,20,75,high,trade +20; enemy_flag +40; frontline_adjacent +15,medium,
#523:d-20,#523,d-20,trade,476X,476,ownership_current,enemy,attack_allowed,owned,frontline_adjacent,TRUE,FALSE,20,75,high,trade +20; enemy_flag +40; frontline_adjacent +15,medium,
#476:a-10,#476,a-10,city,476M,476,ownership_current,enemy,attack_allowed,owned,other,TRUE,FALSE,30,70,high,city +30; enemy_flag +40,medium,
#476:a-12,#476,a-12,city,476M,476,ownership_current,enemy,attack_allowed,owned,other,TRUE,FALSE,30,70,high,city +30; enemy_flag +40,medium,
#476:a-18,#476,a-18,city,476X,476,ownership_current,enemy,attack_allowed,owned,other,TRUE,FALSE,30,70,high,city +30; enemy_flag +40,medium,
#476:b-20,#476,b-20,city,476Z,476,ownership_current,enemy,attack_allowed,owned,other,TRUE,FALSE,30,70,high,city +30; enemy_flag +40,medium,
#476:b-6,#476,b-6,city,476T,476,ownership_current,enemy,attack_allowed,owned,other,TRUE,FALSE,30,70,high,city +30; enemy_flag +40,medium,
